epoch,train_loss,train_acc,val_loss,val_acc,time
1,22.034269942932127,9.856,2.3038698692321775,10.0,413.09234046936035
2,2.3049779235076904,10.048,2.304207836532593,10.0,411.1343276500702
3,2.3042997621154786,10.076,2.3032068183898926,10.0,405.29200887680054
4,2.303444769744873,9.888,2.3036499961853028,10.0,320.82187819480896
5,2.303640852432251,10.026,2.303627235031128,10.0,318.2834050655365
6,2.303005747528076,9.93,2.3026356964111327,10.0,321.07429456710815
7,2.302727048187256,9.704,2.3025963439941406,10.0,318.8198308944702
8,2.3027369589233397,9.728,2.3026246685028076,10.0,328.64298605918884
9,2.302630299682617,10.0,2.3026111553192137,10.0,372.49165439605713
10,2.302623341140747,10.0,2.302602091598511,10.0,373.51744318008423
