epoch,train_loss,train_acc,val_loss,val_acc,time
1,1.8661975569915772,31.668,1.7719235761642456,39.19,60.25174403190613
2,1.4889328771972656,45.638,1.3125761787414552,52.55,53.5875985622406
3,1.342116770362854,51.234,1.3151260334014891,52.45,53.78813028335571
4,1.2262592971801758,56.084,1.1982703060150146,58.16,53.852052450180054
5,1.1377988999176025,59.552,1.0796275651931764,62.39,53.946587562561035
6,0.9967279387283325,64.618,1.0326699024200439,63.76,53.92709803581238
7,0.9615962826538086,65.944,0.987505579662323,65.47,53.93083310127258
8,0.9437753844833374,66.378,1.0045275959968567,65.13,53.948360204696655
9,0.9289343620681763,67.114,0.977517592906952,66.06,53.95783233642578
10,0.9263401399040222,67.27,0.9825987657546997,65.86,53.94636058807373
